,URL,Title
0,https://news.yahoo.co.jp/,"

"
1,https://news.yahoo.co.jp/users/me,マイページ
2,https://news.yahoo.co.jp/settings/blocked-users,
3,https://news.yahoo.co.jp/byline/,個人
4,https://news.yahoo.co.jp/original/,オリジナル
5,https://news.yahoo.co.jp/polls/,みんなの意見
6,https://news.yahoo.co.jp/pickup/6455526,旧統一教会へ4回目の質問権行使
7,https://news.yahoo.co.jp/pickup/6455541,病院に車が突っ込む 2人死亡
8,https://news.yahoo.co.jp/pickup/6455532,教員切りつけ 殺人未遂疑い男逮捕
9,https://news.yahoo.co.jp/pickup/6455534,破水中に交通事故 危機救った医師
10,https://news.yahoo.co.jp/pickup/6455536,「VOGUE GIRL」サイト閉鎖へ
11,https://news.yahoo.co.jp/pickup/6455537,SB牧原大成 侍ジャパン追加招集
12,https://news.yahoo.co.jp/pickup/6455527,鷹育成 キャンプ中に国家試験受験
13,https://news.yahoo.co.jp/pickup/6455539,ヒロドアナ 報ステでスポーツ担当
14,https://news.yahoo.co.jp/pickup/6455541,病院に車が突っ込む 2人死亡
15,https://news.yahoo.co.jp/comment-timeline,最新コメントでみんなの話題をチェックコメントタイムラインでニュースを見よう
16,https://news.yahoo.co.jp/articles/71450597c8ac273872f2499d85d9fd8c625cd634,1路上で痙攣、ひたすら「お疲れさまです」と繰り返す少女… “市販薬オーバードーズ”で倒れるトー横の若者 「統制ない」現状ABEMA TIMES3/1(水)11:30
17,https://news.yahoo.co.jp/articles/3e84e1daaf3a81e2d65091c2d52138d926d01831,217歳女子高生タレントがTikTok休止示唆　「無加工顔」でまさかの容姿揶揄...誹謗中傷に批判の声J-CASTニュース3/1(水)12:44
18,https://news.yahoo.co.jp/articles/46e3cce8bb58d9a9850af22ae895dacba37e99f8,3バカリズムが水川あさみと「怒鳴り合いの口論」で撮影中止!?→その後「無理して撮った1枚」に笑いが止まらないよ！BuzzFeed Japan3/1(水)11:01
19,https://news.yahoo.co.jp/articles/40e447e4bd5fdfbe433d06d7238cc2f2b72eb62c,4４４キロ速度超過の女子高校生、同乗の男女３人死亡事故で逮捕…カーブで軽横転読売新聞オンライン3/1(水)15:14
20,https://news.yahoo.co.jp/articles/fd8df5ab86a6c6f61b55a5319d79c3c8ec396ac2,5【速報】大阪・生野区で病院に車が突っ込む　70代の女性2人が挟まれて死亡　運転の70代男を逮捕読売テレビ3/1(水)15:29
21,https://news.yahoo.co.jp/articles/301f57a85cdaae2e74ce7a1f7c5b6a7e909abdb6,1「子供に食べさせるな」コオロギ粉末給食に苦情殺到　試食2回提供の高校困惑「誤解されている」J-CASTニュース2/28(火)21:33
22,https://news.yahoo.co.jp/articles/a8384297a7af16f0e84694916111e4363533cab3,2日本は協力パートナー　未来志向を呼び掛け　韓国大統領時事通信3/1(水)10:46
23,https://news.yahoo.co.jp/articles/b43e0abd52b8d7e05744d62cb73ea3a1a9c4d0e4,3【速報】「誰でもいいから人を殺したいと思った」　埼玉・戸田市の中学校で教員の男性切り付け　10代くらいの男を殺人未遂容疑で逮捕TBS NEWS DIG Powered by JNN3/1(水)13:160:37
24,https://news.yahoo.co.jp/articles/a18390d3203b1b7f792f84177d045c8b62c5372f,1日本人の27歳女 フィリピンで新たに逮捕　特殊詐欺関与で指名手配FNNプライムオンライン（フジテレビ系）3/1(水)11:461:18
25,https://news.yahoo.co.jp/articles/b43e0abd52b8d7e05744d62cb73ea3a1a9c4d0e4,2【速報】「誰でもいいから人を殺したいと思った」　埼玉・戸田市の中学校で教員の男性切り付け　10代くらいの男を殺人未遂容疑で逮捕TBS NEWS DIG Powered by JNN3/1(水)13:160:37
26,https://news.yahoo.co.jp/articles/8fcb52f0f091c4f3475dfaa8fa2dabecc4fe6bb6,3ベラルーシ駐留のロシアA-50　衛星画像では損傷確認できずAP通信3/1(水)15:020:15
27,https://news.yahoo.co.jp/articles/fe06b2286777531973f911584ea76ab605f4aa77,1「青木功会長が泣き出してしまい…」日本ゴルフツアー機構で“クーデター”が　資産4千億円の大富豪副会長と対立デイリー新潮3/1(水)11:32
28,https://news.yahoo.co.jp/articles/7947b478eefff9f2cd37cfbf0efff406b6a77e20,2《児相送致》「母は超ミニスカート」「娘の服装はキラキラ」“地元の名家の箱入り娘”を凶行へ駆り立てた「母とのスマホトラブル」《静岡・13歳少女“母殺し”》文春オンライン3/1(水)15:12
29,https://news.yahoo.co.jp/articles/b34388d7fa64a5c6259097ba10b904ff4c695497,3逮捕された船岡久嗣アナは後輩女子アナに「捨てられた」　NHKがどうしても隠したい「不都合な真実」とはデイリー新潮3/1(水)11:57
30,https://news.yahoo.co.jp/articles/a2cfaabf40d4d7b017ac96bc9e4b00a282a259a3,4ウクライナ軍はまもなく大敗北喫し戦争終結、これだけの証拠JBpress3/1(水)6:02
31,https://news.yahoo.co.jp/articles/d969f62a17f1932cc232a9dff0f3faaae4a7bd30,5心臓血管医が解説する「大動脈解離から身を守る方法」　実は40～50代も発症リスク、特徴的な症状と治療法東洋経済オンライン3/1(水)13:02
32,https://news.yahoo.co.jp/promo/app/yjnews/,アプリデータ先読みで、電車でもサクサク
33,https://news.yahoo.co.jp/newshack/,news HACKYahoo!ニュースのオウンドメディア
34,https://news.yahoo.co.jp/byline/,個人
35,https://news.yahoo.co.jp/original/,オリジナル
36,https://news.yahoo.co.jp/polls/,みんなの意見
37,https://news.yahoo.co.jp/info/news-operation-policy,運営方針
